"","YP_009724390.1","QHD43416.1","QHD43418.1","QHD43419.1","QHD43423.2","QII57161.1","QII57163.1","QII57162.1","QHD43415.1","QKE11719.1","P0DTC2","YP_009724389.1","YP_009724397.2","QHO62112.1","QHO62113.1","QHO62114.1","QHO62115.1","QJF11943.1"
"YP_009724390.1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QHD43416.1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QHD43418.1",0.907859078590786,0.907859078590786,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QHD43419.1",0.969618055555556,0.969618055555556,0.934959349593496,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QHD43423.2",0.982224247948952,0.982224247948952,0.943089430894309,0.975694444444444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QII57161.1",0,0,0.907859078590786,0.969618055555556,0.982224247948952,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QII57163.1",0.969618055555556,0.969618055555556,0.934959349593496,0,0.975694444444444,0.969618055555556,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QII57162.1",0.907859078590786,0.907859078590786,0,0.934959349593496,0.943089430894309,0.907859078590786,0.934959349593496,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QHD43415.1",0.993305563820292,0.993305563820292,0.907859078590786,0.967881944444444,0.982224247948952,0.993305563820292,0.967881944444444,0.907859078590786,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QKE11719.1",0.00164446637066273,0.00164446637066273,0.907859078590786,0.969618055555556,0.982224247948952,0.00164446637066273,0.969618055555556,0.907859078590786,0.992599901332018,0,NA,NA,NA,NA,NA,NA,NA,NA
"P0DTC2",0,0,0.907859078590786,0.969618055555556,0.982224247948952,0,0.969618055555556,0.907859078590786,0.993305563820292,0.00164446637066273,0,NA,NA,NA,NA,NA,NA,NA
"YP_009724389.1",0.993305563820292,0.993305563820292,0.907859078590786,0.967881944444444,0.982224247948952,0.993305563820292,0.967881944444444,0.907859078590786,0,0.992599901332018,0.993305563820292,0,NA,NA,NA,NA,NA,NA
"YP_009724397.2",0.982224247948952,0.982224247948952,0.943089430894309,0.975694444444444,0,0.982224247948952,0.975694444444444,0.943089430894309,0.982224247948952,0.982224247948952,0.982224247948952,0.982224247948952,0,NA,NA,NA,NA,NA
"QHO62112.1",0,0,0.907859078590786,0.969618055555556,0.982224247948952,0,0.969618055555556,0.907859078590786,0.993305563820292,0.00164446637066273,0,0.993305563820292,0.982224247948952,0,NA,NA,NA,NA
"QHO62113.1",0.907859078590786,0.907859078590786,0,0.934959349593496,0.943089430894309,0.907859078590786,0.934959349593496,0,0.907859078590786,0.907859078590786,0.907859078590786,0.907859078590786,0.943089430894309,0.907859078590786,0,NA,NA,NA
"QHO62114.1",0.969618055555556,0.969618055555556,0.934959349593496,0,0.975694444444444,0.969618055555556,0,0.934959349593496,0.967881944444444,0.969618055555556,0.969618055555556,0.967881944444444,0.975694444444444,0.969618055555556,0.934959349593496,0,NA,NA
"QHO62115.1",0.982224247948952,0.982224247948952,0.943089430894309,0.975694444444444,0,0.982224247948952,0.975694444444444,0.943089430894309,0.982224247948952,0.982224247948952,0.982224247948952,0.982224247948952,0,0.982224247948952,0.943089430894309,0.975694444444444,0,NA
"QJF11943.1",0.982224247948952,0.982224247948952,0.943089430894309,0.975694444444444,0,0.982224247948952,0.975694444444444,0.943089430894309,0.982224247948952,0.982224247948952,0.982224247948952,0.982224247948952,0,0.982224247948952,0.943089430894309,0.975694444444444,0,0
